Script Code,Script Name,Alternate Names
adlm,Adlam,
afak,Afaka,
aghb,Caucasian Albanian,
ahom,Ahom,
arab,Arabic,
aran,Nastaliq,
armi,Imperial Aramaic,
armn,Armenian,
avst,Avestan,
bali,Balinese,
bamu,Bamum,
bass,Bassa Vah,
batk,Batak,
beng,Bengali,
bhks,Bhaiksuki,
blis,Blissymbols,
bopo,Bopomofo,
brah,Brahmi,
brai,Braille,
bugi,Buginese,
buhd,Buhid,
cakm,Chakma,
cans,Unified Canadian Aboriginal Syllabics,Aboriginal Syllabics
cari,Carian,
cham,Cham,
cher,Cherokee,
chis,Chisoi,
chrs,Chorasmian,
cirt,Cirth,
copt,Coptic,
cpmn,Cypro-Minoan,
cprt,Cypriot Syllabary,
cyrl,Cyrillic,Cryllic; Kyrillic
cyrs,Old Church Slavonic Cyrillic,
deva,Devanagari,Nagari; Nandinagari
diak,Dives Akuru,
dogr,Dogra,
dsrt,Deseret,
dupl,Duployan,
egyd,Demotic Egyptian,Demotic
egyh,Hieratic Egyptian,Hieratic
egyp,Egyptian Hieroglyphs,Hieroglyph
elba,Elbasan,
elym,Elymaic,
ethi,Ethiopic,
gara,Garay,
geok,Khutsuri,
geor,Georgian,
glag,Glagolitic,
gong,Gunjala Gondi,
gonm,Masaram Gondi,
goth,Gothic,Blackletter; Schwabacher
gran,Grantha,
grek,Greek,
gujr,Gujarati,
gukh,Gurung Khema,
guru,Gurmukhi,
hanb,Han with Bopomofo,Zhuyin; Zhuyinfuhao
hang,Hangul,
hani,Han Characters,Hanzi
hano,Hanunoo,
hans,Simplified Han,
hant,Traditional Han,
hatr,Hatran,
hebr,Hebrew,
hira,Hiragana,
hluw,Anatolian Hieroglyphs,
hmng,Pahawh Hmong,
hmnp,Nyiakeng Puachue Hmong,
hrkt,Japanese Syllabaries,
hung,Old Hungarian,
inds,Indus,
ital,Old Italic,
jamo,Jamo,
java,Javanese,
jpan,Japanese Mixed Script,
jurc,Jurchen,
kali,Kayah Li,
kana,Katakana,
kawi,Kawi,
khar,Kharoshthi,Kharosthi
khmr,Khmer,
khoj,Khojki,
kitl,Khitan Large Script,
kits,Khitan Small Script,
knda,Kannada,
kore,Korean Mixed Script,
kpel,Kpelle,
krai,Kirat Rai,
kthi,Kaithi,
lana,Tai Tham,
laoo,Lao,
latf,Fraktur,
latg,Gaelic Latin,Latin Gaelic
latn,Latin,
leke,Leke,
lepc,Lepcha,
limb,Limbu,
lina,Linear A,
linb,Linear B,
lisu,Lisu,
loma,Loma,
lyci,Lycian,
lydi,Lydian,
mahj,Mahajani,
maka,Makasar,
mand,Mandaic,
mani,Manichaean,
marc,Marchen,
maya,Mayan Hieroglyphs,
medf,Medefaidrin,
mend,Mende Kikakui,
merc,Meroitic Cursive,
mero,Meroitic Hieroglyphs,
mlym,Malayalam,
modi,Modi,
mong,Mongolian,
moon,Moon,
mroo,Mro,
mtei,Meitei Mayek,
mult,Multani,
mymr,Myanmar,
nagm,Nag Mundari,
nand,Nandinagari,
narb,Old North Arabian,
nbat,Nabataean,
newa,Newa,
nkdb,Naxi Dongba,
nkgb,Nakhi Geba,
nkoo,N'Ko,
nshu,Nushu,
ogam,Ogham,
olck,Ol Chiki,
onao,Ol Onal,
orkh,Old Turkic,
orya,Oriya,
osge,Osage,
osma,Osmanya,
ougr,Old Uyghur,
palm,Palmyrene,
pauc,Pau Cin Hau,
pcun,Proto-Cuneiform,
pelm,Proto-Elamite,
perm,Old Permic,
phag,Phags-pa,
phli,Inscriptional Pahlavi,
phlp,Psalter Pahlavi,
phlv,Book Pahlavi,
phnx,Phoenician,
piqd,Klingon,
plrd,Miao,
prti,Inscriptional Parthian,
ranj,Ranjana,
rjng,Rejang,
roro,Rongorongo,
runr,Runic,Runes
samr,Samaritan,
sara,Sarati,
sarb,Old South Arabian,
saur,Saurashtra,
sgnw,SignWriting,
shaw,Shavian,
shrd,Sharada,
shui,Shuishu,
sidd,Siddham,
sidt,Sidetic,
sind,Sindhi,
sinh,Sinhala,
sora,Sora Sompeng,
soyo,Soyombo,
sund,Sundanese,
sunu,Sunuwar,
sylo,Syloti Nagri,
syrc,Syriac,
syre,Estrangelo Syriac,
syrj,Western Syriac,
syrn,Eastern Syriac,
tagb,Tagbanwa,
takr,Takri,
tale,Tai Le,
talu,New Tai Lue,
taml,Tamil,
tang,Tangut,
tavt,Tai Viet,
tayo,Tai Yo,
telu,Telugu,
teng,Tengwar,
tfng,Tifinagh,
tglg,Tagalog,
thaa,Thaana,
thai,Thai,
tibt,Tibetan,
tirh,Tirhuta,
tnsa,Tangsa,
todr,Todhri,
tols,Tolong Siki,
toto,Toto,
tutg,Tulu-Tigalari,
ugar,Ugaritic,
vaii,Vai,
visp,Visible Speech,
vith,Vithkuqi,
wara,Warang Citi,
wcho,Wancho,
wole,Woleai,
xpeo,Old Persian,
xsux,Cuneiform,
yezi,Yezidi,
yiii,Yi,
zanb,Zanabazar Square,
zsye,Emoji,
zinh,Inherited,
zmth,Mathematical Notation,
zsym,Symbols,
zxxx,Unwritten Languages,
zyyy,Undetermined Script,
zzzz,Uncoded Script,
